Character,Unicode,,Capitalized ,Unicode,Difference
a,97,,A,65,32
á,225,,Á,193,32
à,224,,À,192,32
?,7843,,?,7842,1
ã,227,,Ã,195,32
?,7841,,?,7840,1
?,259,,?,258,1
?,7855,,?,7854,1
?,7857,,?,7856,1
?,7859,,?,7858,1
?,7861,,?,7860,1
?,7863,,?,7862,1
â,226,,Â,194,32
?,7845,,?,7844,1
?,7847,,?,7846,1
?,7849,,?,7848,1
?,7851,,?,7850,1
?,7853,,?,7852,1
b,98,,B,66,32
c,99,,C,67,32
d,100,,D,68,32
?,273,,?,272,1
e,101,,E,69,32
é,233,,É,201,32
è,232,,È,200,32
?,7867,,?,7866,1
?,7869,,?,7868,1
?,7865,,?,7864,1
ê,234,,Ê,202,32
?,7871,,?,7870,1
?,7873,,?,7872,1
?,7875,,?,7874,1
?,7877,,?,7876,1
?,7879,,?,7878,1
g,103,,G,71,32
h,104,,H,72,32
i,105,,I,73,32
í,237,,Í,205,32
ì,236,,Ì,204,32
?,7881,,?,7880,1
?,297,,?,296,1
?,7883,,?,7882,1
k,107,,K,75,32
l,108,,L,76,32
m,109,,M,77,32
n,110,,N,78,32
o,111,,O,79,32
ó,243,,Ó,211,32
ò,242,,Ò,210,32
?,7887,,?,7886,1
õ,245,,Õ,213,32
?,7885,,?,7884,1
ô,244,,Ô,212,32
?,7889,,?,7888,1
?,7891,,?,7890,1
?,7893,,?,7892,1
?,7895,,?,7894,1
?,7897,,?,7896,1
?,417,,?,416,1
?,7899,,?,7898,1
?,7901,,?,7900,1
?,7903,,?,7902,1
?,7905,,?,7904,1
?,7907,,?,7906,1
p,112,,P,80,32
q,113,,Q,81,32
r,114,,R,82,32
s,115,,S,83,32
t,116,,T,84,32
u,117,,U,85,32
ú,250,,Ú,218,32
ù,249,,Ù,217,32
?,7911,,?,7910,1
?,361,,?,360,1
?,7909,,?,7908,1
?,432,,?,431,1
?,7913,,?,7912,1
?,7915,,?,7914,1
?,7917,,?,7916,1
?,7919,,?,7918,1
?,7921,,?,7920,1
v,118,,V,86,32
x,120,,X,88,32
y,121,,Y,89,32
ý,253,,Ý,221,32
?,7923,,?,7922,1
?,7927,,?,7926,1
?,7929,,?,7928,1
?,7925,,?,7924,1
,,,,,
A,65,,A,65,32
B,66,,B,66,32
C,67,,C,67,32
D,68,,D,68,32
E,69,,E,69,32
G,71,,G,71,32
H,72,,H,72,32
I,73,,I,73,32
K,75,,K,75,32
L,76,,L,76,32
M,77,,M,77,32
N,78,,N,78,32
O,79,,O,79,32
P,80,,P,80,32
Q,81,,Q,81,32
R,82,,R,82,32
S,83,,S,83,32
T,84,,T,84,32
U,85,,U,85,32
V,86,,V,86,32
X,88,,X,88,32
Y,89,,Y,89,32
a,97,,À,192,32
b,98,,Á,193,32
c,99,,Â,194,32
d,100,,Ã,195,32
e,101,,È,200,32
g,103,,É,201,32
h,104,,Ê,202,32
i,105,,Ì,204,32
k,107,,Í,205,32
l,108,,Ò,210,32
m,109,,Ó,211,32
n,110,,Ô,212,32
o,111,,Õ,213,32
p,112,,Ù,217,32
q,113,,Ú,218,32
r,114,,Ý,221,32
s,115,,?,258,1
t,116,,?,272,1
u,117,,?,296,1
v,118,,?,360,1
x,120,,?,416,1
y,121,,?,431,1
À,192,,?,7840,1
Á,193,,?,7842,1
Â,194,,?,7844,1
Ã,195,,?,7846,1
È,200,,?,7848,1
É,201,,?,7850,1
Ê,202,,?,7852,1
Ì,204,,?,7854,1
Í,205,,?,7856,1
Ò,210,,?,7858,1
Ó,211,,?,7860,1
Ô,212,,?,7862,1
Õ,213,,?,7864,1
Ù,217,,?,7866,1
Ú,218,,?,7868,1
Ý,221,,?,7870,1
à,224,,?,7872,1
á,225,,?,7874,1
â,226,,?,7876,1
ã,227,,?,7878,1
è,232,,?,7880,1
é,233,,?,7882,1
ê,234,,?,7884,1
ì,236,,?,7886,1
í,237,,?,7888,1
ò,242,,?,7890,1
ó,243,,?,7892,1
ô,244,,?,7894,1
õ,245,,?,7896,1
ù,249,,?,7898,1
ú,250,,?,7900,1
ý,253,,?,7902,1
?,258,,?,7904,1
?,259,,?,7906,1
?,272,,?,7908,1
?,273,,?,7910,1
?,296,,?,7912,1
?,297,,?,7914,1
?,360,,?,7916,1
?,361,,?,7918,1
?,416,,?,7920,1
?,417,,?,7922,1
?,431,,?,7924,1
?,432,,?,7926,1
?,7840,,?,7928,1
?,7841,,,,
?,7842,,,,
?,7843,,,,
?,7844,,,,
?,7845,,,,
?,7846,,,,
?,7847,,,,
?,7848,,,,
?,7849,,,,
?,7850,,,,
?,7851,,,,
?,7852,,,,
?,7853,,,,
?,7854,,,,
?,7855,,,,
?,7856,,,,
?,7857,,,,
?,7858,,,,
?,7859,,,,
?,7860,,,,
?,7861,,,,
?,7862,,,,
?,7863,,,,
?,7864,,,,
?,7865,,,,
?,7866,,,,
?,7867,,,,
?,7868,,,,
?,7869,,,,
?,7870,,,,
?,7871,,,,
?,7872,,,,
?,7873,,,,
?,7874,,,,
?,7875,,,,
?,7876,,,,
?,7877,,,,
?,7878,,,,
?,7879,,,,
?,7880,,,,
?,7881,,,,
?,7882,,,,
?,7883,,,,
?,7884,,,,
?,7885,,,,
?,7886,,,,
?,7887,,,,
?,7888,,,,
?,7889,,,,
?,7890,,,,
?,7891,,,,
?,7892,,,,
?,7893,,,,
?,7894,,,,
?,7895,,,,
?,7896,,,,
?,7897,,,,
?,7898,,,,
?,7899,,,,
?,7900,,,,
?,7901,,,,
?,7902,,,,
?,7903,,,,
?,7904,,,,
?,7905,,,,
?,7906,,,,
?,7907,,,,
?,7908,,,,
?,7909,,,,
?,7910,,,,
?,7911,,,,
?,7912,,,,
?,7913,,,,
?,7914,,,,
?,7915,,,,
?,7916,,,,
?,7917,,,,
?,7918,,,,
?,7919,,,,
?,7920,,,,
?,7921,,,,
?,7922,,,,
?,7923,,,,
?,7924,,,,
?,7925,,,,
?,7926,,,,
?,7927,,,,
?,7928,,,,
?,7929,,,,
